Country,EPSI,Date,ECPI,CCPI,GSCPI
India,5.0,1990-01-31,,,
India,1.0,1990-01-31,,,
India,0.0,1990-01-31,,,
India,0.0,1990-01-31,,,
Greece,1.0,1991-01-31,,,
Greece,0.0,1991-01-31,,,
Greece,0.0,1991-01-31,,,
Greece,0.47222224,1991-01-31,,,
Greece,0.0,1991-01-31,,,
Greece,0.0,1991-01-31,,,
Greece,0.25,1991-01-31,,,
Greece,0.0,1991-01-31,,,
Greece,0.0,1991-01-31,,,
Greece,0.66666669,1991-01-31,,,
Greece,1.0,1991-01-31,,,
Greece,4.0,1991-01-31,,,
Greece,0.0,1991-01-31,,,
Greece,0.0,1991-01-31,,,
Greece,0.0,1991-01-31,,,
Greece,0.0,1991-01-31,,,
Greece,0.5,1991-01-31,,,
Portugal,1.0,1991-01-31,,,
Portugal,5.0,1991-01-31,,,
Portugal,0.83333331,1991-01-31,,,
Portugal,0.0,1991-01-31,,,
Portugal,1.0,1991-01-31,,,
Portugal,0.0,1991-01-31,,,
Portugal,0.69444442,1991-01-31,,,
Portugal,0.0,1991-01-31,,,
Portugal,0.0,1991-01-31,,,
Portugal,1.0,1991-01-31,,,
Portugal,0.0,1991-01-31,,,
Portugal,0.25,1991-01-31,,,
Portugal,0.0,1991-01-31,,,
Portugal,0.0,1991-01-31,,,
Portugal,1.0,1991-01-31,,,
Portugal,0.0,1991-01-31,,,
Portugal,1.0,1991-01-31,,,
France,0.0,1991-01-31,,,
France,1.3333334,1991-01-31,,,
France,1.0,1991-01-31,,,
France,0.0,1991-01-31,,,
France,0.0,1991-01-31,,,
France,0.0,1991-01-31,,,
France,5.0,1991-01-31,,,
France,3.0,1991-01-31,,,
France,3.0,1991-01-31,,,
France,1.0,1991-01-31,,,
France,1.5,1991-01-31,,,
France,1.0,1991-01-31,,,
France,0.0,1991-01-31,,,
France,1.0,1991-01-31,,,
France,1.0,1991-01-31,,,
France,0.0,1991-01-31,,,
France,1.5,1991-01-31,,,
Belgium,0.8888889,1991-01-31,,,
Belgium,1.0,1991-01-31,,,
Belgium,0.0,1991-01-31,,,
Belgium,0.0,1991-01-31,,,
Belgium,1.0,1991-01-31,,,
Belgium,1.0,1991-01-31,,,
Belgium,1.5,1991-01-31,,,
Belgium,0.0,1991-01-31,,,
Belgium,0.66666669,1991-01-31,,,
Belgium,3.0,1991-01-31,,,
Belgium,0.0,1991-01-31,,,
Belgium,4.0,1991-01-31,,,
Belgium,1.0,1991-01-31,,,
Belgium,0.0,1991-01-31,,,
Belgium,0.0,1991-01-31,,,
Belgium,0.0,1991-01-31,,,
Belgium,0.5,1991-01-31,,,
Switzerland,1.0,1991-01-31,,,
Switzerland,1.0,1991-01-31,,,
Switzerland,0.0,1991-01-31,,,
Switzerland,0.0,1991-01-31,,,
Switzerland,0.0,1991-01-31,,,
Switzerland,1.75,1991-01-31,,,
Switzerland,3.0,1991-01-31,,,
Switzerland,0.0,1991-01-31,,,
Switzerland,2.5,1991-01-31,,,
Switzerland,4.0,1991-01-31,,,
Switzerland,0.0,1991-01-31,,,
Switzerland,1.0,1991-01-31,,,
Switzerland,0.0,1991-01-31,,,
Switzerland,5.0,1991-01-31,,,
Switzerland,2.0,1991-01-31,,,
Switzerland,0.0,1991-01-31,,,
